date,btc_open,btc_high,btc_low,btc_close,btc_volume,fng_value,fng_class,active_addresses,tx_count,tx_volume,bitcoin_interest,dollar_value,10Y_yield,cpi,dow_adj,sp_adj,nasdaq_adj,sp_ret,nasdaq_ret,dow_ret
2022-12-25,16841.0,16850.0,16731.0,16779.0,735.75146128,29.0,Fear,522307.0,205314.0,33714.40174508002,18,121.9843,3.75,298.808,33203.9296875,3844.820068359375,10497.8603515625,0.005868102525282026,0.0020752181276857407,0.005342259294666585
2022-12-26,16779.0,16910.0,16740.0,16816.0,744.92616633,28.0,Fear,548937.0,223504.0,49422.234748989984,18,121.9843,3.75,298.808,33203.9296875,3844.820068359375,10497.8603515625,0.005868102525282026,0.0020752181276857407,0.005342259294666585
2022-12-27,16816.0,16961.0,16608.0,16622.0,1871.24847104,27.0,Fear,593337.0,239359.0,73837.5818452,18,121.767,3.84,298.808,33241.55859375,3829.25,10353.23046875,-0.004049622110409712,-0.013777081992805584,0.0011332666525964985
2022-12-28,16622.0,16772.0,16559.0,16631.0,2178.93943386,28.0,Fear,661225.0,272949.0,115663.03057508003,18,122.02,3.88,298.808,32875.7109375,3783.219970703125,10213.2900390625,-0.012020638322615351,-0.013516595627798833,-0.011005731130753427
2022-12-29,16629.0,16650.0,16465.0,16626.0,1602.48893065,28.0,Fear,668338.0,265955.0,131188.57038618997,18,121.6713,3.83,298.808,33220.80078125,3849.280029296875,10478.08984375,0.01746133164481911,0.025926983731464404,0.010496802469338151
2022-12-30,16626.0,16649.0,16337.0,16564.0,2212.0034151,28.0,Fear,726125.0,291015.0,187830.55360826993,18,121.4392,3.88,298.808,33147.25,3839.5,10466.48046875,-0.0025407424823445934,-0.0011079667356473921,-0.0022139978423251216
2022-12-31,16561.0,16650.0,16531.0,16567.0,964.92245582,25.0,Extreme Fear,618594.0,242325.0,88107.45507170004,18,121.4392,3.88,298.808,33147.25,3839.5,10466.48046875,-0.0025407424823445934,-0.0011079667356473921,-0.0022139978423251216
2023-01-01,16567.0,16592.0,16471.0,16584.0,513.24305925,26.0,Fear,509337.0,187516.0,57947.45603425,20,121.4392,3.88,300.456,33147.25,3839.5,10466.48046875,-0.0025407424823445934,-0.0011079667356473921,-0.0022139978423251216
2023-01-02,16588.0,16752.0,16552.0,16718.0,870.38219274,27.0,Fear,575250.0,229347.0,70627.13101751001,20,121.4392,3.88,300.456,33147.25,3839.5,10466.48046875,-0.0025407424823445934,-0.0011079667356473921,-0.0022139978423251216
2023-01-03,16718.0,16782.0,16605.0,16638.0,1522.86539378,26.0,Fear,645565.0,272055.0,115897.68252864997,20,122.0844,3.79,300.456,33136.37109375,3824.139892578125,10386.98046875,-0.004000548879248611,-0.007595676525395945,-0.00032819936042960407
2023-01-04,16639.0,16978.0,16621.0,16948.0,1799.69488002,29.0,Fear,652878.0,277936.0,147221.81181332003,20,121.5108,3.69,300.456,33269.76953125,3852.969970703125,10458.759765625,0.007538970575044379,0.006910506579939524,0.004025740692080726
2023-01-05,16948.0,16984.0,16755.0,16839.0,1312.84610557,29.0,Fear,682119.0,279391.0,125408.18788017001,20,122.0786,3.71,300.456,32930.078125,3808.10009765625,10305.240234375,-0.011645528874622113,-0.014678559857027706,-0.010210212184696088
2023-01-06,16839.0,16869.0,16669.0,16845.0,1408.1914635800001,26.0,Fear,685990.0,276071.0,89839.74514356999,20,121.0814,3.55,300.456,33630.609375,3895.080078125,10569.2900390625,0.02284078102943865,0.02562286746180975,0.02127329450421711
2023-01-07,16849.0,17024.0,16842.0,16936.0,973.88643545,25.0,Extreme Fear,601071.0,246679.0,59496.366312100006,20,121.0814,3.55,300.456,33630.609375,3895.080078125,10569.2900390625,0.02284078102943865,0.02562286746180975,0.02127329450421711
2023-01-08,16936.0,17012.0,16915.0,16926.0,584.19516513,25.0,Extreme Fear,565595.0,228488.0,44145.44721127999,20,121.0814,3.55,300.456,33630.609375,3895.080078125,10569.2900390625,0.02284078102943865,0.02562286746180975,0.02127329450421711
2023-01-09,16926.0,17393.0,16925.0,17350.0,2173.99168681,25.0,Extreme Fear,662916.0,287347.0,102295.23039462007,20,120.1403,3.53,300.456,33517.6484375,3892.090087890625,10635.650390625,-0.0007676325452631305,0.00627860067395658,-0.003358872753104869
2023-01-10,17350.0,17439.0,17136.0,17434.0,1511.14636229,26.0,Fear,695664.0,302809.0,105020.53511093998,20,120.234,3.61,300.456,33704.1015625,3919.25,10742.6298828125,0.006978233159061986,0.010058575475722531,0.005562834318394216
2023-01-11,17439.0,17549.0,17318.0,17488.0,1369.34997678,26.0,Fear,661284.0,287494.0,92743.30740500003,20,120.1445,3.54,300.456,33973.01171875,3969.610107421875,10931.669921875,0.012849424614881588,0.01759718440686031,0.007978558803928948
2023-01-12,17488.0,18972.0,17475.0,18802.0,4710.45370545,30.0,Fear,717816.0,315980.0,122156.97182285,20,119.4108,3.43,300.456,34189.96875,3983.169921875,11001.099609375,0.0034159058663651987,0.006351242581983385,0.0063861583143145495
2023-01-13,18810.0,19389.0,18720.0,19300.0,3669.11286218,31.0,Fear,743545.0,316549.0,129019.50106531002,20,119.1422,3.49,300.456,34302.609375,3999.090087890625,11079.16015625,0.003996858363534361,0.007095704033847516,0.0032945518559446274
2023-01-14,19296.0,21247.0,19253.0,20761.0,7728.03452573,46.0,Fear,725858.0,309880.0,117777.77078149999,20,119.1422,3.49,300.456,34302.609375,3999.090087890625,11079.16015625,0.003996858363534361,0.007095704033847516,0.0032945518559446274
2023-01-15,20760.0,21070.0,20549.0,20819.0,1518.29461946,52.0,Neutral,605147.0,252086.0,53131.13542512001,20,119.1422,3.49,300.456,34302.609375,3999.090087890625,11079.16015625,0.003996858363534361,0.007095704033847516,0.0032945518559446274
2023-01-16,20821.0,21411.0,20634.0,21284.0,2809.88806741,45.0,Fear,677371.0,302804.0,97089.10536517999,20,119.1422,3.49,300.456,34302.609375,3999.090087890625,11079.16015625,0.003996858363534361,0.007095704033847516,0.0032945518559446274
2023-01-17,21285.0,21594.0,20863.0,21351.0,2692.10287885,51.0,Neutral,680259.0,308715.0,126112.2576408999,20,119.2186,3.53,300.456,33910.8515625,3990.969970703125,11095.1103515625,-0.0020304911890052235,0.0014396574368051862,-0.011420641742360127
2023-01-18,21372.0,21646.0,20358.0,20934.0,3452.25074019,52.0,Neutral,681758.0,300045.0,114652.69117420004,20,119.08,3.37,300.456,33296.9609375,3928.860107421875,10957.009765625,-0.015562598500411085,-0.012446977232457357,-0.018103073108280965
2023-01-19,20937.0,21017.0,20629.0,20981.0,2432.47606111,45.0,Fear,684950.0,298919.0,125581.27716118,20,119.6033,3.39,300.456,33044.55859375,3898.85009765625,10852.26953125,-0.007638350296294338,-0.009559198779177658,-0.007580341768240406
